t`s`float	v(rst)`V`float	v(d)`V`float	v(clk)`V`float	v(c2)`V`float	v(c1)`V`float
0	0	3.18848e-08	0	0	2.5
1e-12	0	3.18848e-08	0	0	2.5
2e-12	0	3.18848e-08	0	0	2.5
5.2e-12	0	3.18848e-08	0	0	2.5
1.544e-11	0	3.18848e-08	0	0	2.5
4.8208e-11	0	3.18848e-08	0	0	2.5
1.53066e-10	0	3.18848e-08	0	0	2.5
4.8861e-10	0	3.18848e-08	0	0	2.5
1e-09	0	3.18848e-08	0	0	2.5
1.045e-09	0	8.83232e-08	0.375	0	2.5
1.06811e-09	0	1.01107e-07	0.567595	0	2.5
1.14207e-09	0	2.91793e-08	1.1839	0	2.5
1.18025e-09	0	-4.60332e-08	1.50207	0	2.5
1.20634e-09	0	-9.1166e-08	1.71949	0	2.5
1.23243e-09	0	-1.31215e-07	1.9369	0	2.5
1.24884e-09	0	-1.16454e-07	2.07368	0	2.5
1.26525e-09	0	-8.18068e-08	2.21045	0	2.5
1.28263e-09	0	7.26138e-09	2.35522	0	2.5
1.3e-09	0	1.3988e-07	2.5	0	2.5
1.31631e-09	0	2.94734e-07	2.5	0	2.5
1.32201e-09	0	3.54411e-07	2.5	0	2.5
1.34025e-09	0	6.30293e-07	2.5	0	2.5
1.36109e-09	0	1.12239e-06	2.5	0	2.5
1.39072e-09	0	1.97742e-06	2.5	0	2.5
1.42218e-09	0	2.7116e-06	2.5	0	2.5
1.4586e-09	0	2.59281e-06	2.5	0	2.5
1.50042e-09	0	9.54531e-07	2.5	0	2.5
1.53605e-09	0	-8.31434e-07	2.5	0	2.5
1.58521e-09	0	-2.08861e-06	2.5	0	2.5
1.64782e-09	0	-3.28706e-07	2.5	0	2.5
1.71514e-09	0	2.68028e-06	2.5	0	2.5
1.78219e-09	0	2.64605e-06	2.5	0	2.5
1.87496e-09	0	-2.10848e-06	2.5	0	2.5
1.98412e-09	0	-4.46764e-06	2.5	0	2.5
2.08879e-09	0	-1.50766e-06	2.5	0	2.5
2.19968e-09	0	3.24211e-07	2.5	0	2.5
2.3288e-09	0	5.78775e-07	2.5	0	2.5
2.47228e-09	0	5.26895e-07	2.5	0	2.5
2.63356e-09	0	3.68616e-07	2.5	0	2.5
2.85134e-09	0	2.01049e-07	2.5	0	2.5
3.16735e-09	0	8.58202e-08	2.5	0	2.5
3.6385e-09	0	3.17481e-08	2.5	0	2.5
3.8e-09	0	3.05423e-08	2.5	0	2.5
3.8375e-09	0	-2.34084e-08	2.1875	0	2.5
3.85132e-09	0	-3.8046e-08	2.07232	0	2.5
3.89555e-09	0	-3.78398e-08	1.70374	0	2.5
3.92249e-09	0	-7.83933e-09	1.47924	0	2.5
3.94943e-09	0	4.4778e-08	1.25474	0	2.5
3.97401e-09	0	9.47886e-08	1.04994	0	2.5
3.99858e-09	0	1.52521e-07	0.845133	0	2.5
4.02726e-09	0	1.94497e-07	0.606188	0	2.5
4.05593e-09	0	2.21092e-07	0.367242	0	2.5
4.07332e-09	0	2.05859e-07	0.222309	0	2.5
4.09071e-09	0	1.73859e-07	0.077376	0	2.5
4.1e-09	0	1.51183e-07	0	0	2.5
4.11486e-09	0	1.49731e-07	0	0	2.5
4.11967e-09	0	1.48594e-07	0	0	2.5
4.13444e-09	0	1.29105e-07	0	0	2.5
4.15726e-09	0	6.92239e-08	0	0	2.5
4.19198e-09	0	-2.07713e-08	0	0	2.5
4.23483e-09	0	-7.98027e-08	0	0	2.5
4.28434e-09	0	-8.74338e-08	0	0	2.5
4.34857e-09	0	-5.89e-08	0	0	2.5
4.43854e-09	0	-1.32681e-08	0	0	2.5
4.57243e-09	0	2.90404e-08	0	0	2.5
4.74104e-09	0	4.68113e-08	0	0	2.5
4.97734e-09	0	4.39625e-08	0	0	2.5
5.31982e-09	0	3.38689e-08	0	0	2.5
5.86891e-09	0	3.02794e-08	0	0	2.5
6e-09	0	3.05666e-08	0	0	2.5
6.0375e-09	0	8.94297e-08	0.3125	0	2.5
6.05022e-09	0	1.0447e-07	0.418517	0	2.5
6.09093e-09	0	8.15386e-08	0.75777	0	2.5
6.11364e-09	0	3.26947e-08	0.947033	0	2.5
6.13636e-09	0	-4.19689e-08	1.1363	0	2.5
6.15866e-09	0	-1.08371e-07	1.32217	0	2.5
6.18097e-09	0	-1.78562e-07	1.50804	0	2.5
6.2057e-09	0	-1.82056e-07	1.71413	0	2.5
6.23043e-09	0	-1.34028e-07	1.92021	0	2.5
6.24602e-09	0	-5.87036e-08	2.05018	0	2.5
6.26162e-09	0	4.60034e-08	2.18016	0	2.5
6.27752e-09	0	1.15291e-07	2.31264	0	2.5
6.29341e-09	0	1.69411e-07	2.44512	0	2.5
6.3e-09	0	1.7753e-07	2.5	0	2.5
6.31054e-09	0	1.59731e-07	2.5	0	2.5
6.31459e-09	0	1.52999e-07	2.5	0	2.5
6.32646e-09	0	1.36502e-07	2.5	0	2.5
6.34841e-09	0	1.16471e-07	2.5	0	2.5
6.38839e-09	0	8.9723e-08	2.5	0	2.5
6.43391e-09	0	6.4999e-08	2.5	0	2.5
6.48603e-09	0	4.66693e-08	2.5	0	2.5
6.55159e-09	0	3.43385e-08	2.5	0	2.5
6.6512e-09	0	2.65075e-08	2.5	0	2.5
6.82255e-09	0	2.47228e-08	2.5	0	2.5
7.1288e-09	0	2.91499e-08	2.5	0	2.5
7.54554e-09	0	3.20217e-08	2.5	0	2.5
8.12663e-09	0	3.21322e-08	2.5	0	2.5
8.8e-09	0	3.19516e-08	2.5	0	2.5
8.8375e-09	0	-1.7936e-08	2.1875	0	2.5
8.86362e-09	0	-4.28233e-08	1.9698	0	2.5
8.94722e-09	0	-8.01399e-09	1.27318	0	2.5
9.00036e-09	0	7.85942e-08	0.830314	0	2.5
9.03329e-09	0	1.31846e-07	0.555902	0	2.5
9.06622e-09	0	1.84783e-07	0.281491	0	2.5
9.08311e-09	0	1.84092e-07	0.140745	0	2.5
9.1e-09	0	1.72004e-07	0	0	2.5
9.11553e-09	0	1.85631e-07	0	0	2.5
9.12241e-09	0	1.90206e-07	0	0	2.5
9.14443e-09	0	1.66938e-07	0	0	2.5
9.17347e-09	0	9.04689e-08	0	0	2.5
9.21641e-09	0	-2.53975e-09	0	0	2.5
9.26137e-09	0	-4.28147e-08	0	0	2.5
9.3175e-09	0	-4.33172e-08	0	0	2.5
9.39129e-09	0	-2.03891e-08	0	0	2.5
9.50811e-09	0	1.23122e-08	0	0	2.5
9.70383e-09	0	3.76132e-08	0	0	2.5
9.99456e-09	0	3.99057e-08	0	0	2.5
1.04172e-08	0	3.23171e-08	0	0	2.5
1.1e-08	0	3.12094e-08	0	0	2.5
1.10375e-08	0	9.00498e-08	0.3125	0	2.5
1.10619e-08	0	1.09962e-07	0.515859	0	2.5
1.114e-08	0	-3.40398e-08	1.16661	0	2.5
1.11789e-08	0	-1.66471e-07	1.49062	0	2.5
1.12055e-08	0	-1.77706e-07	1.71276	0	2.5
1.12322e-08	0	-1.2422e-07	1.9349	0	2.5
1.12484e-08	0	-4.80414e-08	2.07038	0	2.5
1.12647e-08	0	5.77189e-08	2.20585	0	2.5
1.12824e-08	0	1.28149e-07	2.35293	0	2.5
1.13e-08	0	1.78645e-07	2.5	0	2.5
1.13149e-08	0	1.54268e-07	2.5	0	2.5
1.13218e-08	0	1.4368e-07	2.5	0	2.5
1.13441e-08	0	1.19416e-07	2.5	0	2.5
1.13734e-08	0	9.86662e-08	2.5	0	2.5
1.14201e-08	0	7.10063e-08	2.5	0	2.5
1.1468e-08	0	5.13097e-08	2.5	0	2.5
1.15299e-08	0	3.71236e-08	2.5	0	2.5
1.16123e-08	0	2.84918e-08	2.5	0	2.5
1.17589e-08	0	2.46453e-08	2.5	0	2.5
1.19912e-08	0	2.73876e-08	2.5	0	2.5
1.23884e-08	0	3.15527e-08	2.5	0	2.5
1.28841e-08	0	3.21781e-08	2.5	0	2.5
1.36133e-08	0	3.19382e-08	2.5	0	2.5
1.38e-08	0	3.19099e-08	2.5	0	2.5
1.38375e-08	0	-1.80175e-08	2.1875	0	2.5
1.38522e-08	0	-3.59759e-08	2.06525	0	2.5
1.38991e-08	0	-4.06832e-08	1.67406	0	2.5
1.39532e-08	0	8.43985e-09	1.22363	0	2.5
1.39971e-08	0	7.0749e-08	0.857164	0	2.5
1.40411e-08	0	1.53105e-07	0.490698	0	2.5
1.40838e-08	0	1.83029e-07	0.135044	0	2.5
1.41e-08	0	1.652e-07	0	0	2.5
1.41208e-08	0	1.71879e-07	0	0	2.5
1.41268e-08	0	1.7256e-07	0	0	2.5
1.41458e-08	0	1.49415e-07	0	0	2.5
1.41727e-08	0	8.5388e-08	0	0	2.5
1.42114e-08	0	5.6626e-09	0	0	2.5
1.42561e-08	0	-3.70324e-08	0	0	2.5
1.43124e-08	0	-4.07956e-08	0	0	2.5
1.43866e-08	0	-1.95509e-08	0	0	2.5
1.45012e-08	0	1.1964e-08	0	0	2.5
1.46795e-08	0	3.59464e-08	0	0	2.5
1.49658e-08	0	4.02587e-08	0	0	2.5
1.53687e-08	0	3.29197e-08	0	0	2.5
1.6e-08	0	3.1206e-08	0	0	2.5
1.60375e-08	0	9.00788e-08	0.3125	0	2.5
1.60628e-08	0	1.10062e-07	0.523651	0	2.5
1.61439e-08	0	-4.48405e-08	1.19933	0	2.5
1.61826e-08	0	-1.72647e-07	1.52144	0	2.5
1.6209e-08	0	-1.75112e-07	1.74155	0	2.5
1.62354e-08	0	-1.0867e-07	1.96166	0	2.5
1.62514e-08	0	-3.15394e-08	2.09495	0	2.5
1.62674e-08	0	7.24392e-08	2.22824	0	2.5
1.62837e-08	0	1.34973e-07	2.36412	0	2.5
1.63e-08	0	1.77397e-07	2.5	0	2.5
1.63143e-08	0	1.53165e-07	2.5	0	2.5
1.63211e-08	0	1.4265e-07	2.5	0	2.5
1.63425e-08	0	1.189e-07	2.5	0	2.5
1.6371e-08	0	9.9209e-08	2.5	0	2.5
1.64177e-08	0	7.19426e-08	2.5	0	2.5
1.64652e-08	0	5.20827e-08	2.5	0	2.5
1.65261e-08	0	3.76658e-08	2.5	0	2.5
1.66062e-08	0	2.88304e-08	2.5	0	2.5
1.67487e-08	0	2.46932e-08	2.5	0	2.5
1.69707e-08	0	2.71191e-08	2.5	0	2.5
