t`s`float	v(rst)`V`float	v(d)`V`float	v(clk)`V`float	v(c2)`V`float	v(c1)`V`float
0	0	5.69318e-08	0	2.5	0
1e-12	0	5.69318e-08	0	2.5	0
2e-12	0	5.69318e-08	0	2.5	0
5.2e-12	0	5.69318e-08	0	2.5	0
1.544e-11	0	5.69319e-08	0	2.5	0
4.8208e-11	0	5.69319e-08	0	2.5	0
1.53066e-10	0	5.69318e-08	0	2.5	0
4.8861e-10	0	5.69319e-08	0	2.5	0
1e-09	0	5.69318e-08	0	2.5	0
1.045e-09	0	1.34065e-07	0.375	2.5	0
1.06811e-09	0	1.4955e-07	0.567595	2.5	0
1.14207e-09	0	4.26908e-08	1.1839	2.5	0
1.18025e-09	0	-5.94514e-08	1.50207	2.5	0
1.20634e-09	0	-1.17014e-07	1.71949	2.5	0
1.23243e-09	0	-1.64644e-07	1.93691	2.5	0
1.24884e-09	0	-1.38144e-07	2.07368	2.5	0
1.26525e-09	0	-8.31283e-08	2.21045	2.5	0
1.28263e-09	0	4.65695e-08	2.35523	2.5	0
1.3e-09	0	2.36178e-07	2.5	2.5	0
1.31631e-09	0	4.51508e-07	2.5	2.5	0
1.32201e-09	0	5.34845e-07	2.5	2.5	0
1.34025e-09	0	9.21016e-07	2.5	2.5	0
1.36108e-09	0	1.60932e-06	2.5	2.5	0
1.39072e-09	0	2.78762e-06	2.5	2.5	0
1.42219e-09	0	3.75486e-06	2.5	2.5	0
1.45861e-09	0	3.49754e-06	2.5	2.5	0
1.50039e-09	0	1.14976e-06	2.5	2.5	0
1.53605e-09	0	-1.26315e-06	2.5	2.5	0
1.58521e-09	0	-3.19786e-06	2.5	2.5	0
1.64572e-09	0	-3.23035e-06	2.5	2.5	0
1.71875e-09	0	-1.20493e-06	2.5	2.5	0
1.78442e-09	0	6.34925e-08	2.5	2.5	0
1.87935e-09	0	-2.19621e-07	2.5	2.5	0
2.00176e-09	0	-3.84212e-07	2.5	2.5	0
2.13061e-09	0	1.89655e-07	2.5	2.5	0
2.23907e-09	0	3.97798e-07	2.5	2.5	0
2.4251e-09	0	3.56181e-07	2.5	2.5	0
2.59415e-09	0	2.81401e-07	2.5	2.5	0
2.8038e-09	0	1.53834e-07	2.5	2.5	0
3.05856e-09	0	7.7813e-08	2.5	2.5	0
3.47534e-09	0	3.65054e-08	2.5	2.5	0
3.8e-09	0	3.36366e-08	2.5	2.5	0
3.8375e-09	0	-3.70867e-08	2.1875	2.5	0
3.85615e-09	0	-5.92615e-08	2.03212	2.5	0
3.91581e-09	0	-1.82978e-08	1.53489	2.5	0
3.96448e-09	0	1.17014e-07	1.12931	2.5	0
3.99172e-09	0	1.94162e-07	0.902373	2.5	0
4.01895e-09	0	2.72342e-07	0.675439	2.5	0
4.04048e-09	0	2.90896e-07	0.496033	2.5	0
4.062e-09	0	2.85175e-07	0.316627	2.5	0
4.07889e-09	0	2.48032e-07	0.175954	2.5	0
4.09577e-09	0	1.87134e-07	0.0352806	2.5	0
4.1e-09	0	1.70963e-07	0	2.5	0
4.10677e-09	0	1.77193e-07	0	2.5	0
4.11002e-09	0	1.80019e-07	0	2.5	0
4.119e-09	0	1.79e-07	0	2.5	0
4.13883e-09	0	1.29177e-07	0	2.5	0
4.16637e-09	0	2.03044e-08	0	2.5	0
4.20562e-09	0	-9.27909e-08	0	2.5	0
4.24975e-09	0	-1.28345e-07	0	2.5	0
4.30375e-09	0	-9.75565e-08	0	2.5	0
4.37546e-09	0	-3.30282e-08	0	2.5	0
4.48303e-09	0	3.25794e-08	0	2.5	0
4.62639e-09	0	6.58041e-08	0	2.5	0
