t`s`float	v(rst)`V`float	v(d)`V`float	v(clk)`V`float	v(c2)`V`float	v(c1)`V`float
0	0	1.67715e-07	0	0	0
1e-12	0	1.67715e-07	0	0	0
2e-12	0	1.67715e-07	0	0	0
5.2e-12	0	1.67715e-07	0	0	0
1.544e-11	0	1.67715e-07	0	0	0
4.8208e-11	0	1.67715e-07	0	0	0
1.53066e-10	0	1.67715e-07	0	0	0
4.8861e-10	0	1.67715e-07	0	0	0
1e-09	0	1.67715e-07	0	0	0
1.045e-09	0	4.22715e-07	0.375	0	0
1.06811e-09	0	4.76811e-07	0.567595	0	0
1.14207e-09	0	1.31122e-07	1.1839	0	0
1.18025e-09	0	-2.12835e-07	1.50207	0	0
1.20634e-09	0	-4.11533e-07	1.71949	0	0
1.23243e-09	0	-5.80732e-07	1.9369	0	0
1.24884e-09	0	-5.02548e-07	2.07367	0	0
1.26525e-09	0	-3.31574e-07	2.21044	0	0
1.28263e-09	0	8.82942e-08	2.35522	0	0
1.3e-09	0	7.07511e-07	2.5	0	0
1.31631e-09	0	1.42771e-06	2.5	0	0
1.32201e-09	0	1.70595e-06	2.5	0	0
1.34025e-09	0	2.9886e-06	2.5	0	0
1.36108e-09	0	5.26191e-06	2.5	0	0
1.39072e-09	0	9.11204e-06	2.5	0	0
1.4222e-09	0	1.20286e-05	2.5	0	0
1.45862e-09	0	1.01208e-05	2.5	0	0
1.50037e-09	0	-3.62148e-07	2.5	0	0
1.53603e-09	0	-1.22876e-05	2.5	0	0
1.58475e-09	0	-1.83923e-05	2.5	0	0
1.6455e-09	0	-5.87599e-06	2.5	0	0
1.71774e-09	0	2.08694e-05	2.5	0	0
1.78356e-09	0	2.3342e-05	2.5	0	0
1.87332e-09	0	-2.90214e-05	2.5	0	0
1.9524e-09	0	-5.67478e-05	2.5	0	0
2.04088e-09	0	-1.73576e-05	2.5	0	0
2.11806e-09	0	1.10861e-05	2.5	0	0
2.21531e-09	0	1.21e-05	2.5	0	0
2.32285e-09	0	1.01201e-05	2.5	0	0
2.42862e-09	0	7.5549e-06	2.5	0	0
2.57679e-09	0	5.04374e-06	2.5	0	0
2.79786e-09	0	2.58183e-06	2.5	0	0
3.14871e-09	0	9.31738e-07	2.5	0	0
3.57225e-09	0	2.86388e-07	2.5	0	0
3.8e-09	0	2.48542e-07	2.5	0	0
3.8375e-09	0	-1.72415e-08	2.1875	0	0
3.85346e-09	0	-9.38968e-08	2.05452	0	0
3.90452e-09	0	-4.93138e-08	1.62899	0	0
3.93042e-09	0	1.12185e-07	1.41317	0	0
3.95632e-09	0	3.67157e-07	1.19735	0	0
3.98207e-09	0	6.08247e-07	0.982776	0	0
4.00782e-09	0	8.71951e-07	0.768199	0	0
4.03342e-09	0	1.0008e-06	0.554802	0	0
4.05903e-09	0	1.0485e-06	0.341405	0	0
4.07586e-09	0	9.47745e-07	0.201179	0	0
4.09269e-09	0	7.68467e-07	0.0609521	0	0
4.1e-09	0	6.76544e-07	0	0	0
4.1117e-09	0	6.75055e-07	0	0	0
4.11598e-09	0	6.71993e-07	0	0	0
4.12866e-09	0	6.04638e-07	0	0	0
4.15073e-09	0	3.42443e-07	0	0	0
4.1828e-09	0	-7.66703e-08	0	0	0
4.22444e-09	0	-3.87947e-07	0	0	0
4.27147e-09	0	-4.24281e-07	0	0	0
4.33209e-09	0	-2.53171e-07	0	0	0
4.41477e-09	0	6.21335e-09	0	0	0
4.54327e-09	0	2.16836e-07	0	0	0
4.70115e-09	0	2.56404e-07	0	0	0
4.92073e-09	0	2.15109e-07	0	0	0
5.24265e-09	0	1.72176e-07	0	0	0
5.72818e-09	0	1.59009e-07	0	0	0
6e-09	0	1.60834e-07	0	0	0
6.0375e-09	0	4.29011e-07	0.3125	0	0
6.05473e-09	0	5.08359e-07	0.456102	0	0
6.10988e-09	0	1.96358e-07	0.915626	0	0
6.13101e-09	0	-7.89717e-08	1.09174	0	0
6.15214e-09	0	-4.40611e-07	1.26786	0	0
6.17684e-09	0	-6.97382e-07	1.47363	0	0
6.20153e-09	0	-8.69083e-07	1.67941	0	0
6.22517e-09	0	-6.31691e-07	1.8764	0	0
6.24881e-09	0	-1.07821e-07	2.07339	0	0
6.26375e-09	0	2.51312e-07	2.19795	0	0
6.2787e-09	0	6.67357e-07	2.3225	0	0
6.3e-09	0	9.03524e-07	2.5	0	0
6.31291e-09	0	7.87058e-07	2.5	0	0
6.31864e-09	0	7.40792e-07	2.5	0	0
6.33697e-09	0	6.27617e-07	2.5	0	0
6.36085e-09	0	5.26552e-07	2.5	0	0
6.40641e-09	0	3.68248e-07	2.5	0	0
6.45156e-09	0	2.5001e-07	2.5	0	0
6.50735e-09	0	1.67907e-07	2.5	0	0
6.57758e-09	0	1.30472e-07	2.5	0	0
6.69531e-09	0	1.27816e-07	2.5	0	0
6.89497e-09	0	1.50335e-07	2.5	0	0
7.23729e-09	0	1.66939e-07	2.5	0	0
7.68882e-09	0	1.69278e-07	2.5	0	0
8.32735e-09	0	1.68769e-07	2.5	0	0
8.8e-09	0	1.6776e-07	2.5	0	0
8.8375e-09	0	-5.98975e-08	2.1875	0	0
8.85963e-09	0	-1.61825e-07	2.00308	0	0
8.93045e-09	0	-5.68794e-08	1.41294	0	0
8.98368e-09	0	2.64218e-07	0.969364	0	0
9.02459e-09	0	5.46161e-07	0.62842	0	0
9.0655e-09	0	8.58648e-07	0.287475	0	0
9.1e-09	0	8.14329e-07	0	0	0
9.11805e-09	0	8.56302e-07	0	0	0
9.12515e-09	0	8.64453e-07	0	0	0
9.14787e-09	0	7.12316e-07	0	0	0
9.17742e-09	0	3.27571e-07	0	0	0
9.22061e-09	0	-1.01833e-07	0	0	0
9.26582e-09	0	-2.52632e-07	0	0	0
9.32285e-09	0	-1.96322e-07	0	0	0
9.39798e-09	0	-2.96343e-08	0	0	0
9.52062e-09	0	1.50386e-07	0	0	0
