t`s`float	v(rst)`V`float	v(d)`V`float	v(clk)`V`float	v(c2)`V`float	v(c1)`V`float
0	0	2.25632e-08	0	2.5	0
1e-12	0	2.25632e-08	0	2.5	0
2e-12	0	2.25632e-08	0	2.5	0
5.2e-12	0	2.25632e-08	0	2.5	0
1.544e-11	0	2.25632e-08	0	2.5	0
4.8208e-11	0	2.25632e-08	0	2.5	0
1.53066e-10	0	2.25632e-08	0	2.5	0
4.8861e-10	0	2.25632e-08	0	2.5	0
1e-09	0	2.25632e-08	0	2.5	0
1.045e-09	0	1.17722e-07	0.375	2.5	0
1.06811e-09	0	1.45507e-07	0.567595	2.5	0
1.14207e-09	0	4.43239e-08	1.1839	2.5	0
1.18645e-09	0	-7.18844e-08	1.55377	2.5	0
1.21277e-09	0	-1.05368e-07	1.77306	2.5	0
1.23908e-09	0	-1.12486e-07	1.99236	2.5	0
1.25745e-09	0	-1.0947e-07	2.14542	2.5	0
1.27582e-09	0	-9.7563e-08	2.29848	2.5	0
1.3e-09	0	-8.62049e-08	2.5	2.5	0
1.31753e-09	0	-1.31216e-07	2.5	2.5	0
1.32369e-09	0	-1.43289e-07	2.5	2.5	0
1.34341e-09	0	-1.34112e-07	2.5	2.5	0
1.37071e-09	0	-5.57057e-09	2.5	2.5	0
1.40673e-09	0	2.34805e-07	2.5	2.5	0
1.44369e-09	0	3.83515e-07	2.5	2.5	0
1.48265e-09	0	4.30509e-07	2.5	2.5	0
1.52714e-09	0	3.65462e-07	2.5	2.5	0
1.5795e-09	0	1.17026e-07	2.5	2.5	0
1.62998e-09	0	-1.11611e-07	2.5	2.5	0
1.70231e-09	0	-2.48777e-07	2.5	2.5	0
1.79024e-09	0	-2.22794e-07	2.5	2.5	0
1.89623e-09	0	-1.10032e-07	2.5	2.5	0
2.03077e-09	0	1.86563e-09	2.5	2.5	0
2.22213e-09	0	6.39685e-08	2.5	2.5	0
2.52088e-09	0	6.21525e-08	2.5	2.5	0
2.94599e-09	0	3.2894e-08	2.5	2.5	0
3.53094e-09	0	2.06201e-08	2.5	2.5	0
3.8e-09	0	2.11266e-08	2.5	2.5	0
3.8375e-09	0	-6.05278e-08	2.1875	2.5	0
3.85466e-09	0	-8.90191e-08	2.04454	2.5	0
3.90955e-09	0	-8.20324e-08	1.58707	2.5	0
3.96575e-09	0	2.58131e-08	1.11874	2.5	0
3.99417e-09	0	1.02707e-07	0.881884	2.5	0
4.0226e-09	0	1.94616e-07	0.645028	2.5	0
4.04974e-09	0	2.4295e-07	0.418843	2.5	0
4.07688e-09	0	2.70431e-07	0.192659	2.5	0
4.1e-09	0	2.4143e-07	0	2.5	0
4.11511e-09	0	2.72733e-07	0	2.5	0
4.12117e-09	0	2.82681e-07	0	2.5	0
4.14056e-09	0	2.77725e-07	0	2.5	0
4.17278e-09	0	1.74211e-07	0	2.5	0
4.21758e-09	0	-6.95914e-09	0	2.5	0
4.27871e-09	0	-1.37987e-07	0	2.5	0
4.3322e-09	0	-1.46565e-07	0	2.5	0
4.40349e-09	0	-1.01982e-07	0	2.5	0
4.49659e-09	0	-3.84767e-08	0	2.5	0
4.66399e-09	0	2.43996e-08	0	2.5	0
4.85578e-09	0	4.11736e-08	0	2.5	0
