t`s`float	v(rst)`V`float	v(d)`V`float	v(clk)`V`float	v(c2)`V`float	v(c1)`V`float
0	0	6.71971e-08	0	0	0
1e-12	0	6.71971e-08	0	0	0
2e-12	0	6.71971e-08	0	0	0
5.2e-12	0	6.71971e-08	0	0	0
1.544e-11	0	6.71972e-08	0	0	0
4.8208e-11	0	6.71974e-08	0	0	0
1.53066e-10	0	6.71972e-08	0	0	0
4.8861e-10	0	6.71971e-08	0	0	0
1e-09	0	6.7197e-08	0	0	0
1.045e-09	0	3.92459e-07	0.375	0	0
1.06811e-09	0	4.94884e-07	0.567595	0	0
1.14207e-09	0	2.05914e-07	1.1839	0	0
1.18645e-09	0	-1.72959e-07	1.55377	0	0
1.21277e-09	0	-2.94267e-07	1.77306	0	0
1.23908e-09	0	-3.38658e-07	1.99235	0	0
1.25745e-09	0	-3.41985e-07	2.14541	0	0
1.27582e-09	0	-3.17114e-07	2.29847	0	0
1.3e-09	0	-2.92764e-07	2.5	0	0
1.31753e-09	0	-4.46517e-07	2.5	0	0
1.32369e-09	0	-4.88811e-07	2.5	0	0
1.34341e-09	0	-4.75693e-07	2.5	0	0
1.37071e-09	0	-8.57871e-08	2.5	0	0
1.40673e-09	0	6.95198e-07	2.5	0	0
1.44369e-09	0	1.23564e-06	2.5	0	0
1.48265e-09	0	1.47415e-06	2.5	0	0
1.52714e-09	0	1.34538e-06	2.5	0	0
1.5795e-09	0	5.98719e-07	2.5	0	0
1.62998e-09	0	-1.40967e-07	2.5	0	0
1.70232e-09	0	-6.30147e-07	2.5	0	0
1.79022e-09	0	-5.97728e-07	2.5	0	0
1.89619e-09	0	-2.77815e-07	2.5	0	0
2.03073e-09	0	2.60807e-08	2.5	0	0
2.22225e-09	0	1.47043e-07	2.5	0	0
2.52163e-09	0	9.67291e-08	2.5	0	0
2.94618e-09	0	4.51368e-08	2.5	0	0
3.46711e-09	0	4.75911e-08	2.5	0	0
3.8e-09	0	5.48112e-08	2.5	0	0
3.8375e-09	0	-2.19707e-07	2.1875	0	0
3.85636e-09	0	-3.25196e-07	2.03036	0	0
3.9167e-09	0	-3.0881e-07	1.52752	0	0
3.97249e-09	0	4.63037e-08	1.06261	0	0
4.00196e-09	0	3.15284e-07	0.81703	0	0
4.03143e-09	0	6.40533e-07	0.571448	0	0
4.05747e-09	0	7.86777e-07	0.35438	0	0
4.08352e-09	0	8.61686e-07	0.137312	0	0
4.1e-09	0	7.98763e-07	0	0	0
4.11466e-09	0	9.14408e-07	0	0	0
4.12012e-09	0	9.50943e-07	0	0	0
4.1375e-09	0	9.72525e-07	0	0	0
4.16843e-09	0	7.22262e-07	0	0	0
4.21335e-09	0	1.52073e-07	0	0	0
4.27891e-09	0	-3.4499e-07	0	0	0
4.33153e-09	0	-3.96145e-07	0	0	0
4.40224e-09	0	-2.72335e-07	0	0	0
4.49272e-09	0	-8.68356e-08	0	0	0
4.66181e-09	0	8.27488e-08	0	0	0
4.85193e-09	0	9.92428e-08	0	0	0
5.13606e-09	0	7.18787e-08	0	0	0
5.52768e-09	0	5.82558e-08	0	0	0
6e-09	0	5.89596e-08	0	0	0
6.0375e-09	0	3.84222e-07	0.3125	0	0
6.05962e-09	0	5.15736e-07	0.496859	0	0
6.13042e-09	0	1.10328e-07	1.08681	0	0
6.17394e-09	0	-6.56225e-07	1.44952	0	0
6.20214e-09	0	-9.65058e-07	1.68449	0	0
6.23033e-09	0	-1.12628e-06	1.91945	0	0
6.25088e-09	0	-8.72441e-07	2.0907	0	0
6.27143e-09	0	-3.91504e-07	2.26195	0	0
6.3e-09	0	3.3807e-07	2.5	0	0
6.31729e-09	0	4.02842e-07	2.5	0	0
6.32393e-09	0	4.25636e-07	2.5	0	0
6.34516e-09	0	4.96251e-07	2.5	0	0
6.3813e-09	0	5.09091e-07	2.5	0	0
6.42375e-09	0	3.87862e-07	2.5	0	0
6.47963e-09	0	2.14071e-07	2.5	0	0
6.53594e-09	0	1.09508e-07	2.5	0	0
6.60943e-09	0	5.46621e-08	2.5	0	0
6.71145e-09	0	3.92501e-08	2.5	0	0
6.88885e-09	0	5.04925e-08	2.5	0	0
7.16928e-09	0	6.52212e-08	2.5	0	0
7.63413e-09	0	6.94736e-08	2.5	0	0
8.21658e-09	0	6.81239e-08	2.5	0	0
8.8e-09	0	6.70553e-08	2.5	0	0
8.8375e-09	0	-2.0235e-07	2.1875	0	0
8.86191e-09	0	-3.47112e-07	1.98404	0	0
8.94004e-09	0	-3.15569e-07	1.33298	0	0
8.99428e-09	0	4.51363e-09	0.881002	0	0
9.03458e-09	0	3.19938e-07	0.545182	0	0
9.07488e-09	0	7.01524e-07	0.209362	0	0
9.1e-09	0	7.84671e-07	0	0	0
9.11943e-09	0	9.63505e-07	0	0	0
9.12597e-09	0	1.01293e-06	0	0	0
9.1469e-09	0	1.03545e-06	0	0	0
9.18046e-09	0	7.39899e-07	0	0	0
9.22613e-09	0	1.96638e-07	0	0	0
9.28676e-09	0	-2.19195e-07	0	0	0
9.34103e-09	0	-2.86217e-07	0	0	0
9.41422e-09	0	-1.96247e-07	0	0	0
9.51095e-09	0	-4.89461e-08	0	0	0
9.68617e-09	0	8.00489e-08	0	0	0
9.94243e-09	0	8.98962e-08	0	0	0
1.03465e-08	0	6.49088e-08	0	0	0
1.08847e-08	0	6.23869e-08	0	0	0
1.1e-08	0	6.27656e-08	0	0	0
1.10375e-08	0	3.87691e-07	0.3125	0	0
1.10496e-08	0	4.74807e-07	0.413426	0	0
1.10884e-08	0	4.91794e-07	0.736389	0	0
1.11159e-08	0	2.84156e-07	0.965681	0	0
1.11434e-08	0	-1.05915e-07	1.19497	0	0
1.11659e-08	0	-4.81614e-07	1.38261	0	0
1.11884e-08	0	-9.33467e-07	1.57025	0	0
1.12136e-08	0	-1.10983e-06	1.78031	0	0
1.12388e-08	0	-1.08029e-06	1.99037	0	0
1.12564e-08	0	-7.76211e-07	2.13638	0	0
1.12739e-08	0	-2.88964e-07	2.28239	0	0
1.13e-08	0	3.6411e-07	2.5	0	0
1.13173e-08	0	4.21347e-07	2.5	0	0
1.13237e-08	0	4.42925e-07	2.5	0	0
1.13444e-08	0	5.06571e-07	2.5	0	0
1.13743e-08	0	5.22523e-07	2.5	0	0
1.14144e-08	0	4.21352e-07	2.5	0	0
1.147e-08	0	2.43181e-07	2.5	0	0
