t`s`float	v(vss)`V`float	v(vdd!)`V`float	v(rst)`V`float	v(d)`V`float	v(clk)`V`float
6.45735e-09	0.0156567	2.53131	0	0.00106702	2.5
6.52333e-09	0.00917464	2.51835	0	-0.000395802	2.5
6.61879e-09	-0.00459632	2.49081	0	-0.00152169	2.5
6.75528e-09	-0.0099244	2.48015	0	-0.000495746	2.5
6.90297e-09	0.00198989	2.50398	0	0.00104936	2.5
7.14023e-09	0.00598196	2.51196	0	-9.29799e-06	2.5
7.31051e-09	-0.00439253	2.49121	0	-0.00083004	2.5
7.6028e-09	-0.00115316	2.49769	0	0.000480693	2.5
7.81145e-09	0.00479663	2.50959	0	0.000327542	2.5
8.14405e-09	-0.00308054	2.49384	0	-0.000550242	2.5
8.41907e-09	-0.000745763	2.49851	0	0.000321651	2.5
8.71787e-09	0.00295112	2.5059	0	9.30232e-05	2.5
8.8e-09	0.000502913	2.50101	0	-0.000252087	2.5
8.83285e-09	-0.00230723	2.49539	0	-0.000510448	2.22625
8.84336e-09	-0.00313871	2.49372	0	-0.000578351	2.1387
8.87698e-09	-0.00538048	2.48924	0	-0.00068092	1.85854
8.92271e-09	-0.0079509	2.4841	0	-0.000694785	1.47743
8.96193e-09	-0.00960324	2.48079	0	-0.00064154	1.15059
9.00115e-09	-0.0107459	2.47851	0	-0.000528151	0.823746
9.02739e-09	-0.0103672	2.47927	0	-0.000334841	0.60512
9.05362e-09	-0.00933019	2.48134	0	-7.25673e-05	0.386493
9.07681e-09	-0.00678091	2.48644	0	0.000305021	0.193247
9.1e-09	-0.00305248	2.4939	0	0.000790644	0
9.11587e-09	0.00170123	2.5034	0	0.0013297	0
9.1236e-09	0.00397409	2.50795	0	0.00157531	0
9.14833e-09	0.010442	2.52088	0	0.0020926	0
9.17891e-09	0.0162329	2.53247	0	0.00219653	0
9.21754e-09	0.0192499	2.5385	0	0.00167251	0
9.26517e-09	0.0167319	2.53346	0	0.000494321	0
9.33231e-09	0.00598166	2.51196	0	-0.001106	0
9.43071e-09	-0.00929829	2.4814	0	-0.00177706	0
9.55293e-09	-0.0101694	2.47966	0	-0.000200052	0
9.70375e-09	0.00464	2.50928	0	0.00128179	0
9.90616e-09	0.00613313	2.51227	0	-0.000131694	0
1.00727e-08	-0.00527595	2.48945	0	-0.000912968	0
1.03574e-08	-0.000981127	2.49804	0	0.000563335	0
1.05532e-08	0.00531212	2.51062	0	0.00036951	0
1.08735e-08	-0.00322487	2.49355	0	-0.000608677	0
1.1e-08	-0.00336239	2.49328	0	-4.21543e-05	0
1.10375e-08	0.00104058	2.50208	0	0.000482505	0.3125
1.105e-08	0.002382	2.50476	0	0.000625688	0.417074
1.10902e-08	0.00416969	2.50834	0	0.000605717	0.751712
1.11098e-08	0.00343996	2.50688	0	0.000372577	0.915155
1.11294e-08	0.00165825	2.50332	0	-7.16982e-06	1.0786
1.11509e-08	-0.00144636	2.49711	0	-0.000470764	1.25751
1.11724e-08	-0.00577489	2.48845	0	-0.00102501	1.43643
1.11975e-08	-0.010135	2.47973	0	-0.00141577	1.64599
1.12227e-08	-0.0145001	2.471	0	-0.00165486	1.85555
1.12369e-08	-0.0151993	2.4696	0	-0.00150563	1.97381
1.1251e-08	-0.0151226	2.46975	0	-0.00121251	2.09207
1.12661e-08	-0.013578	2.47284	0	-0.000756736	2.21739
1.12811e-08	-0.0107349	2.47853	0	-0.000147612	2.34271
1.13e-08	-0.00598192	2.48804	0	0.000635948	2.5
1.13138e-08	-0.0031017	2.4938	0	0.000969315	2.5
1.13194e-08	-0.00188382	2.49623	0	0.00110557	2.5
1.13374e-08	0.00224711	2.50449	0	0.0015091	2.5
1.13699e-08	0.0089985	2.518	0	0.00192274	2.5
1.14155e-08	0.014504	2.52901	0	0.00172176	2.5
1.14698e-08	0.0142521	2.5285	0	0.000727173	2.5
1.15412e-08	0.00604507	2.51209	0	-0.000725303	2.5
1.16481e-08	-0.00737673	2.48525	0	-0.00144248	2.5
1.17883e-08	-0.00763216	2.48474	0	-2.00156e-05	2.5
1.19499e-08	0.00507161	2.51014	0	0.00105501	2.5
1.21754e-08	0.00338485	2.50677	0	-0.000367087	2.5
1.23576e-08	-0.00553778	2.48892	0	-0.000638562	2.5
1.26478e-08	0.00132024	2.50264	0	0.000618111	2.5
1.28727e-08	0.00357419	2.50715	0	7.73959e-06	2.5
1.31607e-08	-0.00365894	2.49268	0	-0.000423203	2.5
1.34914e-08	0.00124492	2.50249	0	0.000430036	2.5
1.38e-08	0.00155521	2.50311	0	-0.000143452	2.5
1.38375e-08	-0.00158607	2.49683	0	-0.000456998	2.1875
1.38557e-08	-0.00294185	2.49412	0	-0.000568099	2.03561
1.39141e-08	-0.00728263	2.48543	0	-0.000783729	1.54957
1.39654e-08	-0.0103069	2.47939	0	-0.000766488	1.12133
1.40096e-08	-0.0110379	2.47792	0	-0.000555023	0.753091
1.40538e-08	-0.0100401	2.47992	0	-0.000161731	0.384852
1.40742e-08	-0.00785949	2.48428	0	0.000184313	0.214933
1.40946e-08	-0.00488432	2.49023	0	0.000607785	0.045015
1.41e-08	-0.00388989	2.49222	0	0.00073403	0
1.41086e-08	-0.00118364	2.49763	0	0.00107445	0
1.41123e-08	-4.6295e-05	2.49991	0	0.00121548	0
1.41228e-08	0.0031266	2.50625	0	0.00157597	0
1.41409e-08	0.00824235	2.51648	0	0.00202965	0
1.41687e-08	0.0145295	2.52906	0	0.00230209	0
1.42054e-08	0.0191363	2.53827	0	0.0020005	0
1.42511e-08	0.0187212	2.53744	0	0.000963161	0
1.43111e-08	0.0105273	2.52105	0	-0.000625022	0
1.43985e-08	-0.00514677	2.48971	0	-0.00184612	0
1.45176e-08	-0.0125039	2.47499	0	-0.000851288	0
1.46567e-08	-7.93567e-05	2.49984	0	0.00111181	0
1.48622e-08	0.00873941	2.51748	0	0.00041889	0
1.50228e-08	-0.00239115	2.49522	0	-0.000950304	0
1.52553e-08	-0.00499131	2.49002	0	6.53573e-05	0
1.54518e-08	0.00461752	2.50924	0	0.000700684	0
1.57687e-08	-0.000283011	2.49943	0	-0.000540825	0
1.6e-08	-0.00381226	2.49238	0	-0.000101347	0
1.60375e-08	0.000609633	2.50122	0	0.000445195	0.3125
1.60536e-08	0.00229805	2.5046	0	0.000627636	0.446372
1.6105e-08	0.00341177	2.50682	0	0.000447695	0.874762
1.61435e-08	-0.000360504	2.49928	0	-0.000274933	1.19542
1.61682e-08	-0.00448278	2.49103	0	-0.000811841	1.40133
1.61929e-08	-0.00993452	2.48013	0	-0.00140574	1.60725
1.62136e-08	-0.0129862	2.47403	0	-0.00157175	1.78034
1.62344e-08	-0.0154624	2.46908	0	-0.00155472	1.95343
1.62482e-08	-0.0154003	2.4692	0	-0.00130273	2.06813
1.62619e-08	-0.0143956	2.47121	0	-0.000900752	2.18283
1.62904e-08	-0.00896479	2.48207	0	0.000202481	2.42034
1.63e-08	-0.00638818	2.48722	0	0.000608959	2.5
1.63137e-08	-0.00344056	2.49312	0	0.000957532	2.5
1.63184e-08	-0.00238035	2.49524	0	0.00107944	2.5
1.63329e-08	0.0010949	2.50219	0	0.00144047	2.5
1.63623e-08	0.00783515	2.51567	0	0.00193891	2.5
1.64055e-08	0.0143978	2.5288	0	0.00192328	2.5
1.64564e-08	0.0157269	2.53145	0	0.00107219	2.5
1.6522e-08	0.00927684	2.51855	0	-0.000388668	2.5
1.66167e-08	-0.00448107	2.49104	0	-0.00152499	2.5
1.67525e-08	-0.0100267	2.47995	0	-0.000520128	2.5
1.68997e-08	0.00181965	2.50364	0	0.00104512	2.5
1.7e-08	0.00740292	2.51481	0	0.00074788	2.5
1.71031e-08	0.00352629	2.50705	0.128831	2.27253e-05	2.5
1.71307e-08	0.00236311	2.50473	0.163346	-0.00015667	2.5
1.7219e-08	-0.00139947	2.4972	0.273792	-0.000444517	2.5
1.75018e-08	-0.00182326	2.49635	0.627222	0.000125838	2.5
1.77247e-08	0.00210681	2.50421	0.905878	0.000240852	2.5
1.80053e-08	-0.0013064	2.49739	1.25663	-0.000285223	2.5
1.83035e-08	-0.00147305	2.49705	1.62943	9.24718e-05	2.5
1.85019e-08	0.000357724	2.50072	1.87741	0.0001164	2.5
1.85446e-08	2.76401e-05	2.50006	1.93074	3.5662e-05	2.5
1.85662e-08	-9.64428e-05	2.49981	1.95776	7.12327e-06	2.5
1.8633e-08	-0.00175099	2.4965	2.04128	-0.000190745	2.5
1.86507e-08	-0.00225779	2.49548	2.06335	-0.000229797	2.5
1.86683e-08	-0.00279366	2.49441	2.08542	-0.000263315	2.5
1.86864e-08	-0.00302721	2.49395	2.10794	-0.000247466	2.5
1.87044e-08	-0.00305925	2.49388	2.13045	-0.000195908	2.5
1.8718e-08	-0.0024426	2.49511	2.14746	-7.34369e-05	2.5
1.87316e-08	-0.00143272	2.49713	2.16448	0.000102233	2.5
1.8758e-08	0.00145641	2.50291	2.19746	0.000504754	2.5
1.87862e-08	0.00423211	2.50846	2.23274	0.000754071	2.5
1.88e-08	0.00516886	2.51034	2.25	0.000773976	2.5
1.88183e-08	0.00426396	2.50853	2.27282	0.000491966	2.34786
1.88238e-08	0.00401488	2.50803	2.27976	0.000411498	2.30162
1.88415e-08	0.00327713	2.50655	2.3019	0.000197126	2.154
1.88787e-08	0.000255132	2.50051	2.34838	-0.000312217	1.84411
1.89266e-08	-0.00580167	2.4884	2.40821	-0.00096535	1.44529
1.895e-08	-0.00915832	2.48168	2.43752	-0.00121649	1.24988
1.89735e-08	-0.0127708	2.47446	2.46683	-0.00142233	1.05447
1.89867e-08	-0.0143006	2.4714	2.48341	-0.00144265	0.943901
1.9e-08	-0.0156354	2.46873	2.5	-0.00141492	0.833333
1.90052e-08	-0.0159606	2.46808	2.5	-0.00137287	0.789677
1.901e-08	-0.0162334	2.46753	2.5	-0.00133276	0.750369
1.9025e-08	-0.0166635	2.46667	2.5	-0.00115083	0.624584
1.9038e-08	-0.0164885	2.46702	2.5	-0.000933742	0.516468
1.90481e-08	-0.0159182	2.46816	2.5	-0.000722058	0.432707
1.90581e-08	-0.0149684	2.47006	2.5	-0.000472396	0.348946
1.90696e-08	-0.0131762	2.47365	2.5	-0.000112474	0.253234
1.90866e-08	-0.00947047	2.48106	2.5	0.000497119	0.1117
1.91e-08	-0.00577756	2.48844	2.5	0.00100951	0
1.91171e-08	0.00124661	2.50249	2.5	0.00181509	0
1.91225e-08	0.0034709	2.50694	2.5	0.00206274	0
1.91396e-08	0.0102579	2.52052	2.5	0.0027003	0
1.91661e-08	0.0191853	2.53837	2.5	0.00319012	0
1.92041e-08	0.0268527	2.55371	2.5	0.00291248	0
1.92497e-08	0.0272125	2.55443	2.5	0.00153318	0
1.93104e-08	0.0163105	2.53262	2.5	-0.000731201	0
1.93956e-08	-0.00563112	2.48874	2.5	-0.00258144	0
1.9504e-08	-0.0179983	2.464	2.5	-0.00156138	0
1.96195e-08	-0.00534214	2.48932	2.5	0.00108825	0
1.97561e-08	0.0117233	2.52345	2.5	0.00154371	0
1.99151e-08	0.00483286	2.50967	2.5	-0.000684112	0
2.00774e-08	-0.00879891	2.4824	2.5	-0.00106916	0
2.02969e-08	-0.000331092	2.49934	2.5	0.000817723	0
2.04804e-08	0.00694543	2.51389	2.5	0.000445399	0
2.07277e-08	-0.00342619	2.49315	2.5	-0.000794237	0
2.09612e-08	-0.00275673	2.49449	2.5	0.000244957	0
2.1e-08	-0.000352348	2.4993	2.5	0.000475864	0
2.10155e-08	0.00182744	2.50365	2.5	0.000701657	0.129368
2.10227e-08	0.00277419	2.50555	2.5	0.000793602	0.189554
2.10459e-08	0.00510147	2.5102	2.5	0.000931298	0.382148
2.10878e-08	0.00656896	2.51314	2.5	0.000707655	0.731291
2.11083e-08	0.00593021	2.51186	2.5	0.00044684	0.902805
2.11289e-08	0.00439568	2.50879	2.5	8.65727e-05	1.07432
2.11501e-08	0.0017061	2.50341	2.5	-0.000339391	1.25062
2.11712e-08	-0.00205122	2.4959	2.5	-0.00083784	1.42692
2.11964e-08	-0.0060987	2.4878	2.5	-0.0012262	1.63664
2.12216e-08	-0.0103049	2.47939	2.5	-0.00149412	1.84637
2.12399e-08	-0.0119261	2.47615	2.5	-0.00144538	1.99879
2.12581e-08	-0.0128126	2.47437	2.5	-0.00124355	2.15122
2.12733e-08	-0.0128016	2.4744	2.5	-0.00101421	2.27792
2.12886e-08	-0.0121723	2.47566	2.5	-0.000711372	2.40462
2.13e-08	-0.0114215	2.47716	2.5	-0.000482162	2.5
2.1314e-08	-0.0112741	2.47745	2.5	-0.000376545	2.5
2.13189e-08	-0.0111565	2.47769	2.5	-0.000331692	2.5
2.13342e-08	-0.0101703	2.47966	2.5	-0.000116212	2.5
2.13491e-08	-0.00834412	2.48331	2.5	0.000194859	2.5
2.13594e-08	-0.00666304	2.48667	2.5	0.000442791	2.5
2.13697e-08	-0.00464022	2.49072	2.5	0.000717512	2.5
2.13863e-08	-0.000996419	2.49801	2.5	0.00114698	2.5
2.14067e-08	0.00355492	2.50711	2.5	0.00156827	2.5
2.143e-08	0.00808494	2.51617	2.5	0.00181555	2.5
2.14552e-08	0.01166	2.52332	2.5	0.00180236	2.5
2.14743e-08	0.0132995	2.5266	2.5	0.00164407	2.5
2.14934e-08	0.0140149	2.52803	2.5	0.00135786	2.5
2.15282e-08	0.0131987	2.5264	2.5	0.000699034	2.5
2.15534e-08	0.0113623	2.52272	2.5	0.000211016	2.5
2.15787e-08	0.00847987	2.51696	2.5	-0.00028586	2.5
2.16093e-08	0.00448324	2.50897	2.5	-0.000762592	2.5
2.16545e-08	-0.00113239	2.49774	2.5	-0.00113852	2.5
2.17087e-08	-0.0056011	2.4888	2.5	-0.00107007	2.5
2.17866e-08	-0.00608824	2.48782	2.5	-0.000353134	2.5
2.19109e-08	0.000663578	2.50133	2.5	0.000620206	2.5
2.19889e-08	0.00426303	2.50853	2.5	0.000586419	2.5
2.21044e-08	0.00299394	2.50599	2.5	-6.98022e-05	2.5
2.22594e-08	-0.00253392	2.49493	2.5	-0.000461572	2.5
2.25168e-08	-0.000836833	2.49833	2.5	0.00024248	2.5
2.27505e-08	0.00263912	2.50528	2.5	0.000170843	2.5
2.31356e-08	-0.00196166	2.49608	2.5	-0.000299199	2.5
2.34736e-08	0.000261176	2.50052	2.5	0.000240473	2.5
2.38e-08	0.00126355	2.50253	2.5	-4.30685e-05	2.5
2.38375e-08	-0.00126157	2.49748	2.5	-0.000320664	2.1875
2.38562e-08	-0.00228577	2.49543	2.5	-0.000409394	2.03175
2.3916e-08	-0.00508319	2.48983	2.5	-0.00051744	1.53333
2.39598e-08	-0.00594327	2.48811	2.5	-0.000393359	1.16799
2.39886e-08	-0.00591565	2.48817	2.5	-0.000265915	0.927955
2.40174e-08	-0.00541799	2.48916	2.5	-0.000102057	0.687918
2.40362e-08	-0.00473955	2.49052	2.5	2.19804e-05	0.531622
2.4055e-08	-0.00381186	2.49238	2.5	0.000160361	0.375327
2.40688e-08	-0.00293828	2.49412	2.5	0.000270394	0.259744
2.40827e-08	-0.0019137	2.49617	2.5	0.000387447	0.144162
2.41e-08	-0.000707088	2.49859	2.5	0.000493485	0
2.41141e-08	0.00176896	2.50354	2.5	0.000769882	0
2.41196e-08	0.00269618	2.50539	2.5	0.000870263	0
2.41371e-08	0.00528047	2.51056	2.5	0.00109265	0
2.41635e-08	0.00823927	2.51648	2.5	0.00119607	0
2.42009e-08	0.01039	2.52078	2.5	0.000998626	0
2.42454e-08	0.00981718	2.51963	2.5	0.000442199	0
2.43057e-08	0.00519766	2.5104	2.5	-0.000393907	0
2.43941e-08	-0.00318484	2.49363	2.5	-0.000996225	0
2.45057e-08	-0.00658734	2.48683	2.5	-0.000445186	0
2.46414e-08	-6.24219e-05	2.49988	2.5	0.00058371	0
2.48298e-08	0.00472314	2.50945	2.5	0.000273943	0
2.50295e-08	-0.00181225	2.49638	2.5	-0.000527931	0
2.53031e-08	-0.00189311	2.49621	2.5	0.000167877	0
2.55515e-08	0.00307637	2.50615	2.5	0.000271439	0
2.6e-08	-0.00205802	2.49588	2.5	-0.000360797	0
2.60375e-08	0.000150741	2.5003	2.5	2.1401e-05	0.3125
2.60591e-08	0.0012554	2.50251	2.5	0.000190864	0.492492
2.61282e-08	0.00136893	2.50274	2.5	8.85347e-05	1.06847
2.61641e-08	-0.000685304	2.49863	2.5	-0.000240429	1.36722
2.61921e-08	-0.00260706	2.49479	2.5	-0.000455791	1.60043
2.622e-08	-0.00480778	2.49038	2.5	-0.00063482	1.83364
2.62346e-08	-0.00550526	2.48899	2.5	-0.000640872	1.9553
2.62492e-08	-0.00604643	2.48791	2.5	-0.000606866	2.07696
2.62647e-08	-0.00619494	2.48761	2.5	-0.000519771	2.20609
2.62802e-08	-0.0059906	2.48802	2.5	-0.00038257	2.33522
2.63e-08	-0.00510421	2.48979	2.5	-0.000153286	2.5
2.63121e-08	-0.00540635	2.48919	2.5	-0.000170632	2.5
2.63176e-08	-0.00550654	2.48899	2.5	-0.00017451	2.5
2.63352e-08	-0.00542601	2.48915	2.5	-0.00012931	2.5
2.63541e-08	-0.0047183	2.49056	2.5	7.18142e-06	2.5
2.63716e-08	-0.00342253	2.49316	2.5	0.000206229	2.5
2.63941e-08	-0.00101878	2.49796	2.5	0.000515651	2.5
2.64239e-08	0.00240962	2.50482	2.5	0.000841065	2.5
2.64603e-08	0.00569127	2.51138	2.5	0.000961957	2.5
2.64979e-08	0.00740868	2.51482	2.5	0.000797396	2.5
2.655e-08	0.00691326	2.51383	2.5	0.000301234	2.5
2.66319e-08	0.0019583	2.50392	2.5	-0.00047479	2.5
2.677e-08	-0.0048741	2.49025	2.5	-0.000611423	2.5
2.69413e-08	-0.00136937	2.49726	2.5	0.000343369	2.5
2.7168e-08	0.00390175	2.5078	2.5	0.000275281	2.5
2.74251e-08	-0.00186156	2.49628	2.5	-0.000444208	2.5
2.77129e-08	-0.001131	2.49774	2.5	0.000197337	2.5
2.80134e-08	0.00252402	2.50505	2.5	0.000134551	2.5
2.84668e-08	-0.00217006	2.49566	2.5	-0.00026773	2.5
2.88e-08	0.000643041	2.50129	2.5	0.000257851	2.5
2.88375e-08	-0.000609785	2.49878	2.5	2.29805e-05	2.1875
2.88564e-08	-0.00110236	2.4978	2.5	-6.35978e-05	2.0303
2.89167e-08	-0.0030044	2.49399	2.5	-0.000267226	1.52728
2.89597e-08	-0.00441014	2.49118	2.5	-0.00033864	1.16955
2.89881e-08	-0.00517504	2.48965	2.5	-0.00034797	0.9327
2.90165e-08	-0.00580785	2.48838	2.5	-0.000327062	0.695851
2.90344e-08	-0.00575334	2.48849	2.5	-0.000256189	0.546448
2.90524e-08	-0.00546129	2.48908	2.5	-0.000153081	0.397045
2.90658e-08	-0.00482358	2.49035	2.5	-3.06247e-05	0.285223
2.90792e-08	-0.00390918	2.49218	2.5	0.000123066	0.173402
2.91e-08	-0.00208674	2.49583	2.5	0.000372473	0
2.91141e-08	0.000721803	2.50144	2.5	0.000720732	0
2.91199e-08	0.00184454	2.50369	2.5	0.00085562	0
2.91384e-08	0.00506667	2.51013	2.5	0.00117082	0
2.91655e-08	0.00874896	2.5175	2.5	0.00134881	0
2.92035e-08	0.0115517	2.5231	2.5	0.00117069	0
2.92487e-08	0.0112102	2.52242	2.5	0.000557517	0
2.93101e-08	0.00608585	2.51217	2.5	-0.000410245	0
2.94017e-08	-0.00365052	2.4927	2.5	-0.00112406	0
2.95149e-08	-0.00745517	2.48509	2.5	-0.000489473	0
2.9654e-08	0.0001549	2.50031	2.5	0.000680043	0
2.98526e-08	0.00523401	2.51047	2.5	0.000253712	0
3.0045e-08	-0.0022306	2.49554	2.5	-0.000599861	0
3.03174e-08	-0.00200486	2.49599	2.5	0.000208636	0
3.05554e-08	0.00345856	2.50692	2.5	0.000305972	0
3.09488e-08	-0.00209295	2.49581	2.5	-0.00040602	0
3.1e-08	-0.00276502	2.49447	2.5	-0.000272715	0
3.10205e-08	-0.000805329	2.49839	2.5	5.54125e-05	0.170776
3.10288e-08	-6.31864e-05	2.49987	2.5	0.00017551	0.239926
3.10553e-08	0.00185872	2.50372	2.5	0.000416024	0.461206
3.11172e-08	0.00251622	2.50503	2.5	0.000250815	0.976468
3.11531e-08	-3.03468e-05	2.49994	2.5	-0.000212669	1.27562
3.11801e-08	-0.00279443	2.49441	2.5	-0.000560887	1.50105
3.12072e-08	-0.00628483	2.48743	2.5	-0.000908209	1.72648
3.12236e-08	-0.00767303	2.48465	2.5	-0.000962594	1.86339
3.124e-08	-0.00882312	2.48235	2.5	-0.000943915	2.0003
3.12542e-08	-0.00909659	2.48181	2.5	-0.000831456	2.11805
3.12683e-08	-0.00887806	2.48224	2.5	-0.000642127	2.2358
3.12821e-08	-0.00805802	2.48388	2.5	-0.000405078	2.35107
3.1296e-08	-0.00668136	2.48664	2.5	-0.000109314	2.46633
3.13e-08	-0.00622648	2.48755	2.5	-2.32003e-05	2.5
3.13065e-08	-0.00607835	2.48784	2.5	1.0138e-05	2.5
3.13096e-08	-0.00598284	2.48803	2.5	2.81116e-05	2.5
3.13184e-08	-0.00557277	2.48885	2.5	9.16009e-05	2.5
3.13308e-08	-0.00475019	2.4905	2.5	0.000208123	2.5
3.13512e-08	-0.00303224	2.49394	2.5	0.000419629	2.5
3.13688e-08	-0.0010953	2.49781	2.5	0.000629132	2.5
3.13905e-08	0.00177411	2.50355	2.5	0.000901562	2.5
3.14157e-08	0.00507528	2.51015	2.5	0.0011279	2.5
3.1456e-08	0.00874036	2.51748	2.5	0.00113369	2.5
3.14922e-08	0.00976971	2.51954	2.5	0.00081575	2.5
3.1542e-08	0.0079816	2.51596	2.5	0.000154926	2.5
3.16136e-08	0.00180933	2.50362	2.5	-0.000672108	2.5
3.17427e-08	-0.0062015	2.4876	2.5	-0.00076326	2.5
3.18993e-08	-0.00213023	2.49574	2.5	0.000386338	2.5
3.21133e-08	0.00491357	2.50983	2.5	0.000412866	2.5
3.23462e-08	-0.00149952	2.497	2.5	-0.000531696	2.5
3.2604e-08	-0.00238931	2.49522	2.5	0.000103499	2.5
3.28826e-08	0.00317916	2.50636	2.5	0.000296219	2.5
3.32882e-08	-0.00189705	2.49621	2.5	-0.000376067	2.5
